,receiptId,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
0,5ff1e1eb0a720f0523000575,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,500.0,2021-01-03 15:25:31.000,5.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6
1,5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:43.000,2021-01-03 15:24:43.000,2021-01-03 15:24:43.000,2021-01-03 15:24:43.000,2021-01-03 15:24:43.000,150.0,2021-01-03 15:24:43.000,2.0,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052
2,5ff1e1f10a720f052300057a,5.0,All-receipts receipt bonus,2021-01-03 15:25:37.000,2021-01-03 15:25:37.000,,,,5.0,,1.0,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b
3,5ff1e1ee0a7214ada100056f,5.0,All-receipts receipt bonus,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,5.0,2021-01-03 15:25:34.000,4.0,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6
4,5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03 15:25:06.000,2021-01-03 15:25:06.000,2021-01-03 15:25:11.000,2021-01-03 15:25:11.000,2021-01-03 15:25:11.000,5.0,2021-01-03 15:25:11.000,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
5,5ff1e1e40a7214ada1000566,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:24.000,2021-01-03 15:25:24.000,2021-01-03 15:25:25.000,2021-01-03 15:25:25.000,2021-01-03 15:25:25.000,750.0,2021-01-03 15:25:25.000,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3
6,5ff1e1cd0a720f052300056f,5.0,All-receipts receipt bonus,2021-01-03 15:25:01.000,2021-01-03 15:25:01.000,2021-01-03 15:25:02.000,2021-01-03 15:25:02.000,2021-01-03 15:25:02.000,5.0,2021-01-03 15:25:02.000,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052
7,5ff1e1a40a720f0523000569,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:20.000,2021-01-03 15:24:20.000,2021-01-03 15:24:21.000,2021-01-03 15:24:21.000,2021-01-03 15:24:21.000,500.0,2021-01-03 15:24:21.000,1.0,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052
8,5ff1e1ed0a7214ada100056e,5.0,All-receipts receipt bonus,2021-01-03 15:25:33.000,2021-01-03 15:25:33.000,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,2021-01-03 15:25:34.000,5.0,2021-01-03 15:25:34.000,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
9,5ff1e1eb0a7214ada100056b,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,250.0,2021-01-03 15:25:31.000,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
10,5ff1e1c50a720f052300056c,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:53.000,2021-01-03 15:24:53.000,2021-01-03 15:24:53.000,2021-01-03 15:24:53.000,2021-01-03 15:24:53.000,100.0,2021-01-03 15:24:53.000,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
11,5ff1e1a10a720f0523000568,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:17.000,2021-01-03 15:24:17.000,2021-01-03 15:39:20.000,2021-01-03 15:39:20.000,2021-01-03 15:39:20.000,750.0,2021-01-03 15:39:20.000,5.0,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052
12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38.000,2021-01-03 15:24:38.000,,,,8850.0,,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59.000,2020-10-30 20:17:59.000,,,,750.0,,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
14,5ff1e1b20a7214ada100055a,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:34.000,2021-01-03 15:24:34.000,2021-01-03 15:24:35.000,2021-01-03 15:24:35.000,2021-01-03 15:24:35.000,300.0,2021-01-03 15:24:35.000,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
15,5ff1e1e90a7214ada1000569,,,2021-01-03 15:25:29.000,2021-01-03 15:25:29.000,,,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6
16,5ff1e1df0a7214ada1000564,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:19.000,2021-01-03 15:25:19.000,2021-01-03 15:25:20.000,2021-01-03 15:25:20.000,2021-01-03 15:25:20.000,750.0,2021-01-03 15:25:20.000,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3
17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36.000,2021-01-03 15:24:36.000,,,,750.0,,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
18,5ff1e1eb0a720f0523000576,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31.000,2021-01-03 15:25:31.000,2021-01-03 15:25:32.000,2021-01-03 15:25:32.000,2021-01-03 15:25:32.000,300.0,2021-01-03 15:25:32.000,2.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6
19,5ff1e1c80a720f052300056d,5.0,All-receipts receipt bonus,2021-01-03 15:24:56.000,2021-01-03 15:24:56.000,2021-01-03 15:25:02.000,2021-01-03 15:25:02.000,2021-01-03 15:25:02.000,5.0,2021-01-03 15:25:02.000,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01.000,2020-10-30 20:18:01.000,2021-01-03 15:39:55.000,2021-01-03 15:39:55.000,2021-01-03 15:39:55.000,389.2,2021-01-03 15:39:55.000,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
21,5ff1e1960a720f0523000567,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:06.000,2021-01-03 15:24:06.000,2021-01-03 15:24:10.000,2021-01-03 15:24:10.000,2021-01-03 15:24:10.000,750.0,2021-01-03 15:24:10.000,1.0,FINISHED,1.0,5ff1e196cfcf6c399c274a38
